#;Domínio;Técnica;Descrição;Implementação / Offsets 2026;Situação / Evolução;Por que? (Motivação Técnica);Risco de Detecção
33;Recoil (RCS);Direct IOCTL Communication v033;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
34;Recoil (RCS);Direct IOCTL Communication v034;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
35;Entrada (Input);Sub-pixel Precise RCS v035;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
36;Recoil (RCS);IAT Camouflage v036;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
37;Networking (Sub-tick);IAT Camouflage v037;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
38;Aimbot & Matemática;Hypervisor-based Memory Access v038;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
39;Networking (Sub-tick);Direct IOCTL Communication v039;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
40;Memória & Evasão;Sub-pixel Precise RCS v040;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
41;Aimbot & Matemática;Sub-pixel Precise RCS v041;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
42;Networking (Sub-tick);Hypervisor-based Memory Access v042;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
43;Memória & Evasão;Hypervisor-based Memory Access v043;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
44;OPSEC & Forensics;Direct IOCTL Communication v044;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
45;Aimbot & Matemática;Hypervisor-based Memory Access v045;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
46;Hardware (Sayo Device);IAT Camouflage v046;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
47;Memória & Evasão;Hypervisor-based Memory Access v047;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
48;Aimbot & Matemática;Sub-pixel Precise RCS v048;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
49;Aimbot & Matemática;Hypervisor-based Memory Access v049;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
50;Memória & Evasão;Sub-pixel Precise RCS v050;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
51;Recoil (RCS);Sub-pixel Precise RCS v051;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
52;Recoil (RCS);IAT Camouflage v052;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
53;Entrada (Input);IAT Camouflage v053;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
54;Hardware (Sayo Device);Asynchronous ESP Rendering v054;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
55;OPSEC & Forensics;IAT Camouflage v055;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
56;Recoil (RCS);Hypervisor-based Memory Access v056;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
57;Recoil (RCS);IAT Camouflage v057;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
58;OPSEC & Forensics;Asynchronous ESP Rendering v058;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
59;Recoil (RCS);Asynchronous ESP Rendering v059;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
60;Aimbot & Matemática;Hypervisor-based Memory Access v060;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
61;Hardware (Sayo Device);Asynchronous ESP Rendering v061;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
62;Entrada (Input);Hypervisor-based Memory Access v062;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
63;Hardware (Sayo Device);Asynchronous ESP Rendering v063;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
64;Hardware (Sayo Device);Asynchronous ESP Rendering v064;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
65;Memória & Evasão;IAT Camouflage v065;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
66;Aimbot & Matemática;Hypervisor-based Memory Access v066;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
67;Recoil (RCS);IAT Camouflage v067;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
68;Recoil (RCS);Sub-pixel Precise RCS v068;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
69;Networking (Sub-tick);IAT Camouflage v069;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
70;Memória & Evasão;Sub-pixel Precise RCS v070;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
71;Aimbot & Matemática;Asynchronous ESP Rendering v071;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
72;Hardware (Sayo Device);Direct IOCTL Communication v072;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
73;OPSEC & Forensics;Asynchronous ESP Rendering v073;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
74;Networking (Sub-tick);Asynchronous ESP Rendering v074;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
75;OPSEC & Forensics;Direct IOCTL Communication v075;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
76;Entrada (Input);Hypervisor-based Memory Access v076;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
77;Memória & Evasão;Hypervisor-based Memory Access v077;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
78;Entrada (Input);Direct IOCTL Communication v078;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
79;Hardware (Sayo Device);Direct IOCTL Communication v079;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
80;Hardware (Sayo Device);Hypervisor-based Memory Access v080;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
81;OPSEC & Forensics;Direct IOCTL Communication v081;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
82;Aimbot & Matemática;Direct IOCTL Communication v082;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
83;Hardware (Sayo Device);Hypervisor-based Memory Access v083;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
84;Memória & Evasão;Direct IOCTL Communication v084;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
85;Hardware (Sayo Device);IAT Camouflage v085;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
86;Recoil (RCS);Hypervisor-based Memory Access v086;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
87;Recoil (RCS);Sub-pixel Precise RCS v087;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
88;Networking (Sub-tick);Hypervisor-based Memory Access v088;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
89;Memória & Evasão;Sub-pixel Precise RCS v089;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
90;OPSEC & Forensics;IAT Camouflage v090;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
91;Recoil (RCS);Asynchronous ESP Rendering v091;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
92;Recoil (RCS);IAT Camouflage v092;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
93;Entrada (Input);Sub-pixel Precise RCS v093;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
94;Aimbot & Matemática;IAT Camouflage v094;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
95;Networking (Sub-tick);IAT Camouflage v095;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
96;Recoil (RCS);Hypervisor-based Memory Access v096;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
